activity_no;license_number;activity_name
1; ЛО-78-01-0038754;Акушерское дело
1;ЛО-78-01-000030;Акушерское дело
1;ЛО-78-01-000045;Акушерское дело
1;ЛО-78-01-000094;Акушерское дело
1;ЛО-78-01-000113;Акушерское дело
1;ЛО-78-01-000117;Акушерское дело
1;ЛО-78-01-000119;Акушерское дело
1;ЛО-78-01-000124;Акушерское дело
1;ЛО-78-01-000163;Акушерское дело
1;ЛО-78-01-000174;Акушерское дело
1;ЛО-78-01-000289;Акушерское дело
1;ЛО-78-01-000299;Акушерское дело
1;ЛО-78-01-000317;Акушерское дело
1;ЛО-78-01-000357;Акушерское дело
1;ЛО-78-01-000392;Акушерское дело
1;ЛО-78-01-000423;Акушерское дело
1;ЛО-78-01-000424;Акушерское дело
1;ЛО-78-01-000426;Акушерское дело
1;ЛО-78-01-002190;Акушерское дело
1;ЛО-78-01-002205;Акушерское дело
1;ЛО-78-01-003870;Акушерское дело
1;ЛО-78-01-003871;Акушерское дело
1;ЛО-78-01-003877;Акушерское дело
1;ЛО-78-01-003889;Акушерское дело
1;ЛО-78-01-004156;Акушерское дело
1;ЛО-78-01-004309;Акушерское дело
1;ЛО-78-01-004310;Акушерское дело
1;ЛО-78-01-004321;Акушерское дело
1;ЛО-78-01-004337;Акушерское дело
1;ЛО-78-01-004350;Акушерское дело
1;ЛО-78-01-004354;Акушерское дело
1;ЛО-78-01-004355;Акушерское дело
1;ЛО-78-01-004358;Акушерское дело
1;ЛО-78-01-004369;Акушерское дело
1;ЛО-78-01-004370;Акушерское дело
1;ЛО-78-01-004390;Акушерское дело
1;ЛО-78-01-004392;Акушерское дело
1;ЛО-78-01-004394;Акушерское дело
1;ЛО-78-01-004432;Акушерское дело
1;ЛО-78-01-004433;Акушерское дело
1;ЛО-78-01-004434;Акушерское дело
1;ЛО-78-01-004436;Акушерское дело
1;ЛО-78-01-004448;Акушерское дело
1;ЛО-78-01-004452;Акушерское дело
1;ЛО-78-01-004456;Акушерское дело
1;ЛО-78-01-004469;Акушерское дело
1;ЛО-78-01-004487;Акушерское дело
1;ЛО-78-01-004490;Акушерское дело
1;ЛО-78-01-004501;Акушерское дело
1;ЛО-78-01-004520;Акушерское дело
1;ЛО-78-01-004524;Акушерское дело
1;ЛО-78-01-004532;Акушерское дело
1;ЛО-78-01-004558;Акушерское дело
1;ЛО-78-01-004560;Акушерское дело
1;ЛО-78-01-004582;Акушерское дело
1;ЛО-78-01-004587;Акушерское дело
1;ЛО-78-01-004596;Акушерское дело
1;ЛО-78-01-004628;Акушерское дело
1;ЛО-78-01-004650;Акушерское дело
1;ЛО-78-01-004657;Акушерское дело
1;ЛО-78-01-004686;Акушерское дело
1;ЛО-78-01-004735;Акушерское дело
1;ЛО-78-01-004744;Акушерское дело
1;ЛО-78-01-004753;Акушерское дело
1;ЛО-78-01-004755;Акушерское дело
1;ЛО-78-01-004768;Акушерское дело
1;ЛО-78-01-004795;Акушерское дело
1;ЛО-78-01-004842;Акушерское дело
1;ЛО-78-01-004845;Акушерское дело
1;ЛО-78-01-004864;Акушерское дело
1;ЛО-78-01-004883;Акушерское дело
1;ЛО-78-01-004886;Акушерское дело
1;ЛО-78-01-004897;Акушерское дело
1;ЛО-78-01-004919;Акушерское дело
1;ЛО-78-01-004929;Акушерское дело
1;ЛО-78-01-004969;Акушерское дело
1;ЛО-78-01-004974;Акушерское дело
1;ЛО-78-01-004990;Акушерское дело
1;ЛО-78-01-005015;Акушерское дело
1;ЛО-78-01-005016;Акушерское дело
1;ЛО-78-01-005031;Акушерское дело
1;ЛО-78-01-005037;Акушерское дело
1;ЛО-78-01-005040;Акушерское дело
1;ЛО-78-01-005043;Акушерское дело
1;ЛО-78-01-005062;Акушерское дело
1;ЛО-78-01-005078;Акушерское дело
1;ЛО-78-01-005091;Акушерское дело
1;ЛО-78-01-005092;Акушерское дело
1;ЛО-78-01-005106;Акушерское дело
1;ЛО-78-01-005111;Акушерское дело
1;ЛО-78-01-005115;Акушерское дело
1;ЛО-78-01-005117;Акушерское дело
1;ЛО-78-01-005137;Акушерское дело
1;ЛО-78-01-005146;Акушерское дело
1;ЛО-78-01-005203;Акушерское дело
1;ЛО-78-01-005209;Акушерское дело
1;ЛО-78-01-005236;Акушерское дело
1;ЛО-78-01-005253;Акушерское дело
1;ЛО-78-01-005254;Акушерское дело
1;ЛО-78-01-005256;Акушерское дело
1;ЛО-78-01-005261;Акушерское дело
1;ЛО-78-01-005267;Акушерское дело
1;ЛО-78-01-005270;Акушерское дело
1;ЛО-78-01-005286;Акушерское дело
1;ЛО-78-01-005325;Акушерское дело
1;ЛО-78-01-005342;Акушерское дело
1;ЛО-78-01-005353;Акушерское дело
1;ЛО-78-01-005354;Акушерское дело
1;ЛО-78-01-005367;Акушерское дело
1;ЛО-78-01-005368;Акушерское дело
1;ЛО-78-01-005374;Акушерское дело
1;ЛО-78-01-005383;Акушерское дело
1;ЛО-78-01-005401;Акушерское дело
1;ЛО-78-01-005409;Акушерское дело
1;ЛО-78-01-005424;Акушерское дело
1;ЛО-78-01-005440;Акушерское дело
1;ЛО-78-01-005471;Акушерское дело
1;ЛО-78-01-005473;Акушерское дело
1;ЛО-78-01-005477;Акушерское дело
1;ЛО-78-01-005499;Акушерское дело
1;ЛО-78-01-005502;Акушерское дело
1;ЛО-78-01-005522;Акушерское дело
1;ЛО-78-01-005524;Акушерское дело
1;ЛО-78-01-005525;Акушерское дело
1;ЛО-78-01-005540;Акушерское дело
