name;address;inn;ogrn;license_number
"ООО ""Мегаполис Медэкспресс""";ул. Комсомола д.12;7825701440;1,0278E+12;78-01-000001
"ЗАО ""Прима Дентал""";пр. Ветеранов д.9, лит.А;7805064585;1,0278E+12;78-01-000002
"ООО Медицинский центр ""Авгур""";ул.Маяковского д.17;7825475470;1,03784E+12;78-01-000003
"ЗАО ""НЕВА-ТРАНЗИТ""";ул. Таллинская д.7;7806044743;1,0278E+12;78-01-000004
"ООО ""Город Улыбок""";наб. Черной речкид.41, лит.Ж;7814387381;1,07785E+12;78-01-000005
"ООО ""Новый взгляд""";Владимирский пр. д.13/9;7825704145;1,03784E+12;78-01-000006
"ООО ""ФОРМАМЕД""";ул. Студенческая д.22;7814068755;1,03783E+12;78-01-000007
"ООО ""АМИСТОМ""";пр. Энтузиастов д.43, корп.1, лит.А, пом.12-Н;7806362520;1,07785E+12;78-01-000008
"ЗАО ""Медико-социальный цетр ""Аллотина""";ул.Профессора Попова д.37, лит.А;7813068953;1,02781E+12;78-01-000009
"ООО ""Медицинский центр ""ДЕЛОР""";ул. Кораблестроителей д.20, лит.А, корп.1, пом. 6-Н;7813015655;1,02781E+12;78-01-000010
"ООО ""ПрогнозМед""";пр. Энгельса д.117;7802351366;1,06785E+12;78-01-00011
"ООО ""Центр профлактической медицины ""НикаМед""";кан. Грибоедова д.66, лит А, пом 10Н;7838360237;5,07847E+11;78-01-000012
"ООО ""Международный медцентр""Меридент""";Каменоостровский пр.д.39;7813109423;1,03783E+12;78-01-000013
"ООО ""ЭГО""";пр. Римского-Крсакова, д.83/85;7805120818;1,0278E+12;78-01-000014
"ООО ""Фри-Стайл""";ул. Ивановского, д.13, пом. 9-Н,лит.А;7811147920;1,04782E+12;78-01-000015
"ООО ""Доктор+""";пр. Маршала Жукова д. 60, к.1, лит В;7805279189;1,03781E+12;78-01-000016
"АНО ""Поликлиника Петербургского метрополитена""";Трамвайный пер.,д.22, корп.2;7805155627;1,0278E+12;78-01-000017
"ООО ""Лечебно-оздоровительный центр ""Светлана""";В.О. Большой пр. д.43/7, лит.А, пом.10Н;7801125572;1,0278E+11;78-01-000018
"ООО ""Сандал""";В.О. 11-лин., д.24, лит.А, пом.9-Н;7801230425;1,0378E+12;78-01-000019
"ООО ""Геркулес""";пр. Богатырский, д.8, лит.А;7805115896;1,02781E+12;78-01-000020
"ООО ""Евгения""";пр. Косыгина д.33, корп.1, лит.Б, пом. 5Н;7806050806;1,03782E+12;78-01-000021
